Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,7,D4-100,2.1,1.9134,5,45,41.00142857,3.8089,3.8256,3.8315,3.8151,3.8104,3.7937,3.7881,3.8048,3.8082,3.8417,3.8535,3.8206,3.812,3.7785,3.7664,3.8002,3.8073,3.8718,3.8975,3.8318,3.8151,0.911142857
NMC,8,D4-200,2.1,1.8448,5,45,39.53142857,3.8228,3.8389,3.8448,3.8287,3.8244,3.8082,3.8023,3.8185,3.8222,3.8523,3.8659,3.8337,3.8256,3.794,3.7819,3.8141,3.8213,3.882,3.909,3.8454,3.829,0.87847619
NMC,9,D4-300,2.1,1.7955,5,45,38.475,3.8448,3.8609,3.8668,3.8513,3.8464,3.8321,3.8247,3.8408,3.8442,3.8758,3.8876,3.8563,3.8476,3.8163,3.8045,3.8364,3.8436,3.9074,3.9298,3.8662,3.851,0.855
NMC,10,D4-400,2.1,1.7384,5,45,37.25142857,3.8498,3.8653,3.8705,3.8557,3.8513,3.8358,3.8299,3.8451,3.8488,3.8786,3.8904,3.86,3.8526,3.8222,3.8107,3.8414,3.8479,3.9096,3.9307,3.8705,3.8557,0.827809524
NMC,11,D4-500,2.1,1.6765,5,45,35.925,3.8557,3.8712,3.8764,3.8612,3.8572,3.8423,3.8358,3.8513,3.8547,3.886,3.8966,3.8665,3.8585,3.8275,3.8166,3.8476,3.8535,3.9158,3.9375,3.8771,3.8612,0.798333333
NMC,12,D4-600,2.1,1.6112,5,45,34.52571429,3.8681,3.8836,3.8891,3.8736,3.8699,3.8541,3.8482,3.864,3.8668,3.8988,3.9099,3.8795,3.8709,3.8402,3.8281,3.8594,3.8662,3.9291,3.9515,3.8888,3.8736,0.767238095
NMC,13,E3-200,2.1,1.8787,5,45,40.25785714,3.8163,3.8321,3.8383,3.8228,3.8182,3.8023,3.7961,3.8116,3.8157,3.8473,3.8591,3.8281,3.8197,3.7878,3.776,3.8076,3.8147,3.8774,3.9006,3.8395,3.8228,0.894619048
NMC,14,E3-300,2.1,1.8272,5,45,39.15428571,3.8402,3.8547,3.8612,3.8464,3.842,3.8265,3.8206,3.8358,3.8392,3.8705,3.8817,3.8513,3.8433,3.812,3.8005,3.8315,3.8386,3.8997,3.9226,3.8637,3.8461,0.870095238
NMC,15,E3-400,2.1,1.7676,5,45,37.87714286,3.8476,3.8628,3.8687,3.8535,3.8495,3.8343,3.8284,3.8439,3.8473,3.8771,3.8888,3.8594,3.8507,3.8203,3.8092,3.8399,3.8461,3.904,3.9291,3.8702,3.8535,0.841714286
NMC,16,E3-500,2.1,1.6929,5,45,36.27642857,3.856,3.8715,3.8771,3.8619,3.8578,3.8423,3.8364,3.8523,3.8557,3.8854,3.8978,3.8668,3.8591,3.8287,3.8169,3.8479,3.8544,3.9149,3.9384,3.8774,3.8619,0.806142857
NMC,17,E3-600,2.1,1.5726,5,45,33.69857143,3.8758,3.8904,3.8975,3.8817,3.8774,3.8616,3.856,3.8718,3.8752,3.9068,3.9183,3.8867,3.8786,3.8476,3.8355,3.8665,3.8743,3.9375,3.9598,3.8969,3.8814,0.748857143
NMC,18,E4-100,2.1,1.9052,5,45,40.82571429,3.8085,3.8253,3.8315,3.8154,3.8101,3.7937,3.7865,3.8039,3.8076,3.8408,3.8538,3.8219,3.8113,3.7775,3.7655,3.7989,3.8067,3.8733,3.8981,3.8321,3.8147,0.907238095
NMC,19,E4-200,2.1,1.8324,5,45,39.26571429,3.825,3.8402,3.8473,3.8315,3.8265,3.811,3.8042,3.8206,3.824,3.8569,3.869,3.8374,3.8278,3.7952,3.7831,3.8154,3.8231,3.8885,3.9118,3.8479,3.8312,0.872571429
NMC,20,E4-300,2.1,1.7794,5,45,38.13,3.8485,3.8643,3.8705,3.8547,3.8501,3.8358,3.8281,3.8439,3.8476,3.8777,3.8916,3.8603,3.8513,3.82,3.8073,3.8392,3.8467,3.9115,3.9344,3.8715,3.8547,0.847333333
NMC,21,E4-400,2.1,1.7229,5,45,36.91928571,3.855,3.8709,3.8767,3.8612,3.8566,3.842,3.8355,3.851,3.8547,3.886,3.8972,3.8662,3.8578,3.8275,3.8154,3.847,3.8535,3.9164,3.9391,3.878,3.8609,0.820428571
NMC,22,E4-500,2.1,1.6562,5,45,35.49,3.864,3.8802,3.8857,3.8702,3.8656,3.8501,3.8442,3.8603,3.8637,3.895,3.9071,3.8755,3.8671,3.8355,3.824,3.8554,3.8631,3.9264,3.949,3.887,3.8699,0.788666667
NMC,23,E4-600,2.1,1.5474,5,45,33.15857143,3.8792,3.895,3.9012,3.8854,3.8808,3.865,3.8591,3.8752,3.8789,3.9109,3.9226,3.8913,3.8817,3.8498,3.838,3.8709,3.8777,3.9422,3.9648,3.9009,3.8848,0.736857143
NMC,24,H3-100,2.1,1.8995,5,45,40.70357143,3.8092,3.8259,3.8324,3.816,3.811,3.794,3.7878,3.8045,3.8079,3.8399,3.8547,3.8216,3.8123,3.7785,3.7661,3.8002,3.8073,3.8755,3.8988,3.8318,3.8157,0.90452381
NMC,25,H3-200,2.1,1.8332,5,45,39.28285714,3.8237,3.8405,3.8464,3.8296,3.8253,3.8089,3.8027,3.8191,3.8225,3.8557,3.8678,3.8352,3.8268,3.7934,3.7816,3.8141,3.8219,3.8888,3.9115,3.8464,3.8296,0.872952381
